logFC,logCPM,F,PValue,FDR,feature,n_cells_found,mean_counts,name
0.965122161052753,11.4096845592106,7.45956686963039,0.00741843441173798,0.0302165499209815,mmu-mir-7020,39,2.17543859649123,mmu-mir-7020
-1.006065422215,11.6793918433314,7.36649367113532,0.00803354963846959,0.0319429235624862,mmu-mir-128-2,42,3.08771929824561,mmu-mir-128-2
1.12347309176266,14.9551296152257,7.24009792320377,0.00916993672688486,0.0349117676591006,mmu-mir-7090,49,53.0701754385965,mmu-mir-7090
1.02558866567697,11.283340055432,7.03363617352141,0.00919831004191872,0.0349117676591006,mmu-mir-6954,37,1.78947368421053,mmu-mir-6954
-0.986754251448555,11.6882141564655,7.02596538796861,0.00957566354090663,0.0355363513629202,mmu-mir-128-1,42,3.10526315789474,mmu-mir-128-1
-0.629410572807034,12.8597316368973,7.04462315746357,0.0099933034058791,0.0362800362778654,mmu-mir-1894,57,8.17543859649123,mmu-mir-1894
-1.03802389739005,11.0312784084103,6.7547021690227,0.0104721270625206,0.0367486000427832,mmu-mir-6941,34,1.08771929824561,mmu-mir-6941
0.90886627288164,11.7544372387799,6.83765718801014,0.0105891033099042,0.0367486000427832,mmu-mir-338,42,3.43859649122807,mmu-mir-338
1.46451613945376,14.4234349231942,6.91055385357903,0.0107825233658466,0.0367486000427832,mmu-mir-709,42,33.5614035087719,mmu-mir-709
0.92310951235848,11.9370887449448,6.57585087041441,0.0122663764368941,0.0409696972992263,mmu-mir-547,44,4.10526315789474,mmu-mir-547
0.936018199494818,11.1898664915375,6.42953945261193,0.0125669663978575,0.0411506546753373,mmu-mir-29a,37,1.6140350877193,mmu-mir-29a
1.14600689461269,10.9204916715206,6.31107426834222,0.0132015436338202,0.0418674730111036,mmu-mir-6405,29,0.894736842105263,mmu-mir-6405
0.723439193473968,13.4828005480593,6.49402103839218,0.0132872818538233,0.0418674730111036,mmu-mir-31,54,16.1929824561403,mmu-mir-31
0.903977858370884,11.5329596018225,6.29944519110455,0.0138270259140754,0.0423611696717127,mmu-mir-1298,40,2.57894736842105,mmu-mir-1298
1.09646982109935,10.8273692275551,6.20836708977946,0.0139512834248156,0.0423611696717127,mmu-mir-6236,28,0.736842105263158,mmu-mir-6236
0.852132460605594,13.4477899358731,6.32737498147383,0.0144568821112099,0.0427655661772676,mmu-mir-6412,48,15.8421052631579,mmu-mir-6412
1.0099315314218,11.0265942624212,6.13044246078506,0.0145966303718818,0.0427655661772676,mmu-mir-6957,35,1.14035087719298,mmu-mir-6957
0.839150498234886,13.1720206762189,6.04029741152082,0.0167466991273275,0.0482189440390292,mmu-mir-3081,49,12.6315789473684,mmu-mir-3081
1.06965340455044,10.9452395774202,5.54361763802687,0.0200273029028976,0.0566874505895576,mmu-mir-320,29,1.01754385964912,mmu-mir-320
0.768723152198898,12.3513813877737,5.51948931730317,0.0216608624477613,0.0596834463780834,mmu-mir-30f,47,6.28070175438596,mmu-mir-30f
-0.936509493313885,11.0512962062143,5.39703977146944,0.021800540293791,0.0596834463780834,mmu-mir-15a,33,1.17543859649123,mmu-mir-15a
-0.349836213951244,15.3627543910908,5.42192036958504,0.0231934694980329,0.0624727323576048,mmu-mir-100,57,60.5438596491228,mmu-mir-100
0.251959342490262,13.9490096145123,5.27190312718161,0.0251022696977593,0.0665409371353301,mmu-let-7c-1,57,22.1228070175439,mmu-let-7c-1
-0.344102733472352,15.3843390484178,5.21084108450583,0.0259213572694731,0.066612253282343,mmu-mir-99a,57,61.5614035087719,mmu-mir-99a
0.76653354153695,12.6712444049753,5.19187227472045,0.0259509467843703,0.066612253282343,mmu-mir-1199,48,7.7719298245614,mmu-mir-1199
-0.566684983429528,15.5741493004163,5.18166141579644,0.026325800698411,0.066612253282343,mmu-mir-28a,57,61.5614035087719,mmu-mir-28a
0.762915645961768,11.4593492399304,5.05014976974521,0.0269604441457646,0.06719991302004,mmu-mir-345,43,2.24561403508772,mmu-mir-345
0.930526449396319,12.1173023536188,4.93288081372665,0.0294941162307418,0.0724340795666747,mmu-mir-8092,43,4.96491228070175,mmu-mir-8092
0.812275486355342,11.3415990249215,4.67734133993401,0.0329128347732456,0.0791044556875784,mmu-mir-451a,41,1.94736842105263,mmu-mir-451a
0.704546915210943,11.85213140428,4.6928043304347,0.0331575562762305,0.0791044556875784,mmu-mir-5119,47,3.78947368421053,mmu-mir-5119
-0.694735870332812,12.5974288227011,4.62657914395705,0.0351140617552803,0.0825922297624198,mmu-mir-191,53,7.63157894736842,mmu-mir-191
0.594251839481904,11.8350594494418,4.49449543343997,0.0372147284962921,0.0863174952622331,mmu-mir-22,50,3.59649122807018,mmu-mir-22
0.784397386143187,11.161418637783,4.25428893578506,0.0413434800455195,0.0945802899671474,mmu-mir-466l,35,1.52631578947368,mmu-mir-466l
-0.751821664544179,11.0193249271721,4.21981882168782,0.0420154152114775,0.0948185721664425,mmu-mir-378c,39,1.07017543859649,mmu-mir-378c
-0.824961622518989,10.8231508293339,4.12429823735909,0.044252853142248,0.0985363529967389,mmu-mir-652,30,0.736842105263158,mmu-mir-652
